                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.2678,                0.67891,                 1.5365,                 1.3522,                0.77254,                 1.5826,                0.91575,                0.92786,                0.96782,                0.58286,                 1.2709,                0.57012,                 1.7289,                 1.3307,                0.59453,                 1.7877,              0.0087526,              0.0087526,              0.0087526
                     66,                  1.266,                0.67941,                 1.5389,                 1.3459,                0.76354,                 1.5829,                0.87427,                0.96341,                0.95874,                0.58165,                 1.3886,                0.58425,                 1.8585,                 1.4095,                0.61271,                 1.8785,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.2822,                0.69101,                 1.5565,                 1.3742,                0.77476,                 1.6074,                0.89684,                0.96341,                0.96542,                0.61281,                 1.2542,                0.77877,                 1.6841,                 1.2996,                 1.0655,                 1.7341,               0.008713,               0.008713,               0.008713
                     68,                 1.2307,                0.68377,                  1.491,                 1.3196,                0.75755,                 1.5401,                0.91528,                0.92221,                0.94963,                0.58679,                 1.2797,                0.67917,                 1.7169,                 1.3194,                 1.0766,                 1.7469,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.2185,                0.68669,                 1.4998,                 1.3074,                0.76327,                 1.5492,                0.91865,                0.96403,                0.96951,                 0.5872,                 1.3128,                0.61629,                 1.7876,                  1.374,                0.77112,                 1.8462,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.2602,                0.67814,                 1.5075,                 1.3459,                0.79764,                 1.5504,                0.87893,                0.95732,                0.96022,                0.59239,                 1.3236,                0.57217,                 1.8341,                 1.3616,                 0.5998,                 1.8552,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.2363,                0.66903,                 1.5006,                 1.3181,                0.75201,                  1.547,                0.89776,                0.91024,                0.94501,                0.58323,                 1.3441,                0.75388,                  1.807,                 1.3777,                 1.3254,                 1.8311,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.2365,                0.67172,                 1.5028,                  1.323,                0.74336,                 1.5537,                 0.8893,                0.93071,                0.96672,                0.57979,                 1.3562,                0.63076,                 1.8087,                 1.3717,                0.75158,                 1.8072,               0.008614,               0.008614,               0.008614
                     73,                 1.2242,                0.66054,                 1.4839,                 1.2982,                0.73342,                 1.5284,                0.91726,                0.93293,                0.95615,                0.58917,                 1.2724,                0.68019,                 1.7347,                 1.2719,                0.93818,                 1.7704,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.2253,                0.66666,                 1.5119,                  1.314,                0.78115,                 1.5654,                0.86724,                0.93293,                0.95073,                0.57171,                 1.3417,                0.63654,                 1.8295,                 1.3803,                0.86942,                 1.8663,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.2169,                0.66991,                 1.4965,                 1.3006,                 0.7626,                 1.5388,                 0.9134,                0.95122,                0.96295,                0.59141,                 1.3019,                0.62015,                 1.7402,                 1.3409,                 0.7107,                  1.766,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.2285,                0.67811,                 1.5034,                 1.3143,                0.78803,                  1.552,                0.90889,                0.95122,                0.97203,                0.60766,                 1.2632,                0.61055,                 1.7392,                 1.3063,                0.60676,                  1.771,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.2046,                0.65398,                 1.4891,                 1.2791,                0.73863,                 1.5276,                0.87899,                0.95122,                0.95379,                0.59043,                 1.2938,                0.78562,                 1.7653,                 1.3047,                0.85141,                 1.7584,               0.008515,               0.008515,               0.008515
                     78,                 1.2124,                0.65466,                 1.4743,                 1.2976,                 0.7542,                 1.5217,                0.88248,                0.93293,                0.93063,                0.52663,                  1.436,                0.86392,                 1.9811,                 1.4848,                 1.1338,                 2.0155,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.2195,                0.67528,                 1.4991,                 1.3021,                 0.7686,                 1.5409,                0.91702,                0.92073,                0.96505,                0.60948,                  1.263,                0.71028,                 1.7099,                   1.29,                0.95997,                 1.7224,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.1999,                0.65771,                 1.4741,                 1.2898,                0.74632,                 1.5179,                0.93219,                0.91463,                0.96783,                0.61761,                  1.268,                0.55374,                 1.7144,                 1.3046,                0.56728,                 1.7642,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.1685,                0.64763,                  1.452,                 1.2487,                0.73894,                 1.4949,                0.89461,                0.93163,                0.94852,                0.57063,                 1.3539,                0.66394,                 1.8901,                 1.4087,                0.77813,                 1.9616,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.2047,                0.66058,                 1.4629,                 1.3034,                0.74317,                 1.5206,                0.86835,                0.97561,                0.96179,                0.59846,                 1.2864,                0.58796,                 1.7795,                 1.3217,                0.62262,                 1.8026,               0.008416,               0.008416,               0.008416
                     83,                 1.2032,                 0.6636,                 1.4811,                 1.2824,                0.75968,                  1.526,                0.88172,                0.95451,                0.96502,                 0.6163,                 1.2415,                0.54656,                 1.6733,                 1.2824,                0.79467,                 1.7272,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.1856,                0.62481,                 1.4595,                 1.2682,                 0.6982,                 1.5005,                0.89796,                0.94512,                0.96775,                0.62068,                 1.2171,                 0.5996,                 1.6821,                 1.2601,                0.97467,                 1.7101,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.1898,                0.65909,                 1.4669,                 1.2626,                0.76484,                 1.5139,                0.89235,                 0.9939,                0.97787,                0.65033,                  1.196,                0.88847,                  1.664,                 1.2297,                  1.437,                 1.6857,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.1574,                0.62442,                 1.4365,                 1.2425,                0.69417,                 1.4863,                0.93901,                0.93902,                0.97285,                0.63179,                 1.2248,                0.59827,                 1.6712,                 1.2691,                0.65413,                 1.7085,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.1776,                0.64274,                 1.4622,                 1.2626,                0.71084,                 1.5121,                0.89777,                0.98171,                0.96364,                 0.5942,                 1.2482,                0.72185,                 1.7009,                 1.3152,                  0.875,                  1.754,               0.008317,               0.008317,               0.008317
                     88,                 1.1667,                0.63585,                 1.4466,                 1.2496,                0.67299,                 1.4908,                0.93957,                0.96341,                0.97205,                0.60066,                 1.2354,                 0.5925,                 1.7175,                 1.3106,                0.70934,                 1.7717,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.1771,                0.65319,                 1.4622,                 1.2795,                0.74601,                 1.5217,                0.88947,                0.98142,                0.95133,                0.61513,                 1.2099,                0.53962,                 1.6563,                 1.2351,                0.63092,                 1.6791,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.1367,                0.62545,                 1.4356,                 1.2365,                0.68208,                 1.4837,                0.86099,                0.98171,                0.96087,                0.62855,                 1.2367,                0.56287,                 1.6919,                 1.2565,                 0.6864,                  1.718,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.1393,                0.61865,                 1.4336,                 1.2334,                0.68221,                 1.4867,                0.90149,                0.96341,                0.96406,                0.63815,                 1.2142,                0.55362,                 1.6546,                 1.2564,                0.61868,                 1.6849,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.1596,                0.64104,                 1.4571,                 1.2557,                0.72408,                 1.5099,                0.94069,                0.95732,                0.97908,                0.63512,                  1.248,                0.51057,                 1.7032,                 1.2646,                0.46804,                 1.7146,               0.008218,               0.008218,               0.008218
                     93,                 1.1471,                 0.6218,                 1.4395,                 1.2321,                  0.684,                 1.4919,                0.90077,                 0.9878,                 0.9745,                0.63493,                 1.2017,                0.51602,                 1.6401,                 1.2333,                0.48132,                 1.6645,              0.0081982,              0.0081982,              0.0081982
                     94,                 1.1091,                0.61535,                 1.4033,                 1.1962,                0.69288,                 1.4498,                 0.8959,                0.98171,                0.96989,                 0.6527,                 1.1545,                 0.5035,                 1.6174,                 1.1907,                0.42423,                 1.6363,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.1272,                0.60344,                 1.4189,                  1.209,                0.65522,                 1.4657,                0.90422,                0.97864,                0.98067,                0.60678,                 1.2663,                0.53512,                 1.7716,                 1.3051,                0.45281,                 1.8143,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.1191,                0.61767,                 1.4204,                 1.2093,                0.68664,                 1.4643,                0.92608,                0.92683,                0.97768,                0.61988,                 1.2433,                0.54347,                 1.7277,                 1.2966,                0.54424,                 1.7995,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.1266,                0.60582,                 1.4068,                 1.2132,                0.67631,                 1.4614,                0.91288,                0.96951,                0.97294,                 0.6515,                  1.168,                0.54959,                 1.6418,                 1.1909,                0.88428,                 1.6543,               0.008119,               0.008119,               0.008119
                     98,                 1.1157,                0.59094,                 1.4236,                 1.1966,                0.64625,                 1.4699,                0.89241,                  0.961,                0.96754,                0.62339,                 1.2004,                 0.5241,                 1.6626,                 1.2399,                0.59454,                 1.6809,              0.0080992,              0.0080992,              0.0080992
